x,y,z
-7.72018313407898e-07,-6.335790157318115e-07,-2.6050649642944335e-05
-7.72018313407898e-07,-6.335790157318115e-07,-2.5949350357055662e-05
-7.640963196754456e-07,-6.270776391029358e-07,-2.615142822265625e-05
-7.640963196754456e-07,-6.270776391029358e-07,-2.5848571777343748e-05
-7.72018313407898e-07,-6.335790157318115e-07,-2.5050649642944334e-05
-7.72018313407898e-07,-6.335790157318115e-07,-2.494935035705566e-05
-7.640963196754456e-07,-6.270776391029358e-07,-2.515142822265625e-05
-7.640963196754456e-07,-6.270776391029358e-07,-2.484857177734375e-05
-8.049266934394836e-07,-5.378348231315612e-07,-2.625065231323242e-05
-7.797123789787292e-07,-5.209871530532836e-07,-2.634730529785156e-05
-8.304024338722228e-07,-5.548571348190307e-07,-2.6050649642944335e-05
-8.304024338722228e-07,-5.548571348190307e-07,-2.5949350357055662e-05
-8.218813538551331e-07,-5.491635799407959e-07,-2.615142822265625e-05
-8.218813538551331e-07,-5.491635799407959e-07,-2.5848571777343748e-05
-8.304024338722228e-07,-5.548571348190307e-07,-2.5050649642944334e-05
-8.304024338722228e-07,-5.548571348190307e-07,-2.494935035705566e-05
-8.218813538551331e-07,-5.491635799407959e-07,-2.515142822265625e-05
-8.218813538551331e-07,-5.491635799407959e-07,-2.484857177734375e-05
-8.049266934394836e-07,-5.378348231315612e-07,-2.5749347686767578e-05
-8.049266934394836e-07,-5.378348231315612e-07,-2.5250652313232422e-05
-8.049266934394836e-07,-5.378348231315612e-07,-2.4749347686767577e-05
-7.797123789787292e-07,-5.209871530532836e-07,-2.5652694702148435e-05
-7.797123789787292e-07,-5.209871530532836e-07,-2.534730529785156e-05
-7.797123789787292e-07,-5.209871530532836e-07,-2.4652694702148435e-05
-7.72018313407898e-07,-6.335790157318115e-07,-1.6050649642944335e-05
-7.72018313407898e-07,-6.335790157318115e-07,-1.5949350357055663e-05
-7.640963196754456e-07,-6.270776391029358e-07,-1.615142822265625e-05
-7.640963196754456e-07,-6.270776391029358e-07,-1.584857177734375e-05
-8.304024338722228e-07,-5.548571348190307e-07,-1.6050649642944335e-05
-8.304024338722228e-07,-5.548571348190307e-07,-1.5949350357055663e-05
-8.218813538551331e-07,-5.491635799407959e-07,-1.615142822265625e-05
-8.218813538551331e-07,-5.491635799407959e-07,-1.584857177734375e-05
-8.049266934394836e-07,-5.378348231315612e-07,-1.625065231323242e-05
-8.049266934394836e-07,-5.378348231315612e-07,-1.574934768676758e-05
-7.797123789787292e-07,-5.209871530532836e-07,-1.6347305297851562e-05
-7.797123789787292e-07,-5.209871530532836e-07,-1.5652694702148436e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.6050649642944335e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.5949350357055662e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.615142822265625e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.5848571777343748e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.5050649642944334e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.494935035705566e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.515142822265625e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.484857177734375e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.625065231323242e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.634730529785156e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.6050649642944335e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.5949350357055662e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.615142822265625e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.5848571777343748e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.5050649642944334e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.494935035705566e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.515142822265625e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.484857177734375e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.5749347686767578e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.5250652313232422e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.4749347686767577e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.5652694702148435e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.534730529785156e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.4652694702148435e-05
-6.335790157318115e-07,-7.72018313407898e-07,-1.6050649642944335e-05
-6.335790157318115e-07,-7.72018313407898e-07,-1.5949350357055663e-05
-6.270776391029358e-07,-7.640963196754456e-07,-1.615142822265625e-05
-6.270776391029358e-07,-7.640963196754456e-07,-1.584857177734375e-05
-5.548571348190307e-07,-8.304024338722228e-07,-1.6050649642944335e-05
-5.548571348190307e-07,-8.304024338722228e-07,-1.5949350357055663e-05
-5.491635799407959e-07,-8.218813538551331e-07,-1.615142822265625e-05
-5.491635799407959e-07,-8.218813538551331e-07,-1.584857177734375e-05
-5.378348231315612e-07,-8.049266934394836e-07,-1.625065231323242e-05
-5.378348231315612e-07,-8.049266934394836e-07,-1.574934768676758e-05
-5.209871530532836e-07,-7.797123789787292e-07,-1.6347305297851562e-05
-5.209871530532836e-07,-7.797123789787292e-07,-1.5652694702148436e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.625065231323242e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.634730529785156e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.6440393447875975e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.6050649642944335e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.5949350357055662e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.615142822265625e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.5848571777343748e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.5050649642944334e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.494935035705566e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.515142822265625e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.484857177734375e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.5749347686767578e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.5652694702148435e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.534730529785156e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.5250652313232422e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.4749347686767577e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.4652694702148435e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.5559606552124022e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.5440393447875974e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.455960655212402e-05
-7.48333752155304e-07,-6.141416430473328e-07,-2.625065231323242e-05
-7.248921990394591e-07,-5.949036478996277e-07,-2.634730529785156e-05
-6.940122842788696e-07,-5.695611834526062e-07,-2.6440393447875975e-05
-6.560108661651611e-07,-5.383742451667785e-07,-2.6528963088989256e-05
