x,y,z
-8.405059576034546e-07,-6.897854208946227e-07,-2.9166570663452147e-05
-8.492201566696166e-07,-6.969369649887085e-07,-2.905571365356445e-05
-8.492201566696166e-07,-6.969369649887085e-07,-2.8944286346435545e-05
-8.405059576034546e-07,-6.897854208946227e-07,-2.883342933654785e-05
-9.040694832801819e-07,-6.040799617767334e-07,-2.9166570663452147e-05
-9.134426712989807e-07,-6.103428602218628e-07,-2.905571365356445e-05
-9.134426712989807e-07,-6.103428602218628e-07,-2.8944286346435545e-05
-9.040694832801819e-07,-6.040799617767334e-07,-2.883342933654785e-05
-8.854193687438964e-07,-5.916182994842529e-07,-2.9275718688964843e-05
-8.854193687438964e-07,-5.916182994842529e-07,-2.8724281311035154e-05
-8.576836585998535e-07,-5.730859041213988e-07,-2.9382036209106444e-05
-8.576836585998535e-07,-5.730859041213988e-07,-2.8617963790893553e-05
-8.492201566696166e-07,-6.969369649887085e-07,-2.205571365356445e-05
-8.492201566696166e-07,-6.969369649887085e-07,-2.1944286346435545e-05
-8.405059576034546e-07,-6.897854208946227e-07,-2.2166570663452146e-05
-8.405059576034546e-07,-6.897854208946227e-07,-2.183342933654785e-05
-8.492201566696166e-07,-6.969369649887085e-07,-1.6055713653564454e-05
-8.405059576034546e-07,-6.897854208946227e-07,-1.616657066345215e-05
-8.492201566696166e-07,-6.969369649887085e-07,-1.5944286346435545e-05
-8.405059576034546e-07,-6.897854208946227e-07,-1.583342933654785e-05
-9.134426712989807e-07,-6.103428602218628e-07,-2.205571365356445e-05
-9.134426712989807e-07,-6.103428602218628e-07,-2.1944286346435545e-05
-9.040694832801819e-07,-6.040799617767334e-07,-2.2166570663452146e-05
-9.040694832801819e-07,-6.040799617767334e-07,-2.183342933654785e-05
-8.854193687438964e-07,-5.916182994842529e-07,-2.2275718688964843e-05
-8.854193687438964e-07,-5.916182994842529e-07,-2.1724281311035156e-05
-8.576836585998535e-07,-5.730859041213988e-07,-2.2382036209106443e-05
-8.576836585998535e-07,-5.730859041213988e-07,-2.1617963790893553e-05
-9.134426712989807e-07,-6.103428602218628e-07,-1.6055713653564454e-05
-9.040694832801819e-07,-6.040799617767334e-07,-1.616657066345215e-05
-9.134426712989807e-07,-6.103428602218628e-07,-1.5944286346435545e-05
-9.040694832801819e-07,-6.040799617767334e-07,-1.583342933654785e-05
-8.854193687438964e-07,-5.916182994842529e-07,-1.6275718688964842e-05
-8.854193687438964e-07,-5.916182994842529e-07,-1.5724282264709474e-05
-8.576836585998535e-07,-5.730859041213988e-07,-1.6382036209106446e-05
-8.576836585998535e-07,-5.730859041213988e-07,-1.5617963790893552e-05
-6.897854208946227e-07,-8.405059576034546e-07,-2.9166570663452147e-05
-6.969369649887085e-07,-8.492201566696166e-07,-2.905571365356445e-05
-6.969369649887085e-07,-8.492201566696166e-07,-2.8944286346435545e-05
-6.897854208946227e-07,-8.405059576034546e-07,-2.883342933654785e-05
-6.040799617767334e-07,-9.040694832801819e-07,-2.9166570663452147e-05
-6.103428602218628e-07,-9.134426712989807e-07,-2.905571365356445e-05
-6.103428602218628e-07,-9.134426712989807e-07,-2.8944286346435545e-05
-6.040799617767334e-07,-9.040694832801819e-07,-2.883342933654785e-05
-5.916182994842529e-07,-8.854193687438964e-07,-2.9275718688964843e-05
-5.916182994842529e-07,-8.854193687438964e-07,-2.8724281311035154e-05
-5.730859041213988e-07,-8.576836585998535e-07,-2.9382036209106444e-05
-5.730859041213988e-07,-8.576836585998535e-07,-2.8617963790893553e-05
-6.969369649887085e-07,-8.492201566696166e-07,-2.205571365356445e-05
-6.969369649887085e-07,-8.492201566696166e-07,-2.1944286346435545e-05
-6.897854208946227e-07,-8.405059576034546e-07,-2.2166570663452146e-05
-6.897854208946227e-07,-8.405059576034546e-07,-2.183342933654785e-05
-6.969369649887085e-07,-8.492201566696166e-07,-1.6055713653564454e-05
-6.897854208946227e-07,-8.405059576034546e-07,-1.616657066345215e-05
-6.969369649887085e-07,-8.492201566696166e-07,-1.5944286346435545e-05
-6.897854208946227e-07,-8.405059576034546e-07,-1.583342933654785e-05
-6.103428602218628e-07,-9.134426712989807e-07,-2.205571365356445e-05
-6.103428602218628e-07,-9.134426712989807e-07,-2.1944286346435545e-05
-6.040799617767334e-07,-9.040694832801819e-07,-2.2166570663452146e-05
