x,y,z
-7.72018313407898e-07,-6.335790157318115e-07,-2.7050649642944335e-05
-7.72018313407898e-07,-6.335790157318115e-07,-2.6949350357055663e-05
-7.640963196754456e-07,-6.270776391029358e-07,-2.715142822265625e-05
-7.640963196754456e-07,-6.270776391029358e-07,-2.684857177734375e-05
-8.304024338722228e-07,-5.548571348190307e-07,-2.7050649642944335e-05
-8.304024338722228e-07,-5.548571348190307e-07,-2.6949350357055663e-05
-8.218813538551331e-07,-5.491635799407959e-07,-2.715142822265625e-05
-8.218813538551331e-07,-5.491635799407959e-07,-2.684857177734375e-05
-8.049266934394836e-07,-5.378348231315612e-07,-2.725065231323242e-05
-8.049266934394836e-07,-5.378348231315612e-07,-2.6749347686767578e-05
-7.797123789787292e-07,-5.209871530532836e-07,-2.7347305297851562e-05
-7.797123789787292e-07,-5.209871530532836e-07,-2.6652694702148436e-05
-7.72018313407898e-07,-6.335790157318115e-07,-2.1050649642944335e-05
-7.72018313407898e-07,-6.335790157318115e-07,-2.0949350357055663e-05
-7.640963196754456e-07,-6.270776391029358e-07,-2.115142822265625e-05
-7.640963196754456e-07,-6.270776391029358e-07,-2.0848571777343748e-05
-7.72018313407898e-07,-6.335790157318115e-07,-1.6050649642944335e-05
-7.72018313407898e-07,-6.335790157318115e-07,-1.5949350357055663e-05
-7.640963196754456e-07,-6.270776391029358e-07,-1.615142822265625e-05
-7.640963196754456e-07,-6.270776391029358e-07,-1.584857177734375e-05
-8.304024338722228e-07,-5.548571348190307e-07,-2.1050649642944335e-05
-8.304024338722228e-07,-5.548571348190307e-07,-2.0949350357055663e-05
-8.218813538551331e-07,-5.491635799407959e-07,-2.115142822265625e-05
-8.218813538551331e-07,-5.491635799407959e-07,-2.0848571777343748e-05
-8.049266934394836e-07,-5.378348231315612e-07,-2.125065231323242e-05
-8.049266934394836e-07,-5.378348231315612e-07,-2.0749347686767578e-05
-7.797123789787292e-07,-5.209871530532836e-07,-2.1347305297851562e-05
-7.797123789787292e-07,-5.209871530532836e-07,-2.0652694702148436e-05
-8.304024338722228e-07,-5.548571348190307e-07,-1.6050649642944335e-05
-8.304024338722228e-07,-5.548571348190307e-07,-1.5949350357055663e-05
-8.218813538551331e-07,-5.491635799407959e-07,-1.615142822265625e-05
-8.218813538551331e-07,-5.491635799407959e-07,-1.584857177734375e-05
-8.049266934394836e-07,-5.378348231315612e-07,-1.625065231323242e-05
-8.049266934394836e-07,-5.378348231315612e-07,-1.574934768676758e-05
-7.797123789787292e-07,-5.209871530532836e-07,-1.6347305297851562e-05
-7.797123789787292e-07,-5.209871530532836e-07,-1.5652694702148436e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.7050649642944335e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.6949350357055663e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.715142822265625e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.684857177734375e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.7050649642944335e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.6949350357055663e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.715142822265625e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.684857177734375e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.725065231323242e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.6749347686767578e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.7347305297851562e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.6652694702148436e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.1050649642944335e-05
-6.335790157318115e-07,-7.72018313407898e-07,-2.0949350357055663e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.115142822265625e-05
-6.270776391029358e-07,-7.640963196754456e-07,-2.0848571777343748e-05
-6.335790157318115e-07,-7.72018313407898e-07,-1.6050649642944335e-05
-6.335790157318115e-07,-7.72018313407898e-07,-1.5949350357055663e-05
-6.270776391029358e-07,-7.640963196754456e-07,-1.615142822265625e-05
-6.270776391029358e-07,-7.640963196754456e-07,-1.584857177734375e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.1050649642944335e-05
-5.548571348190307e-07,-8.304024338722228e-07,-2.0949350357055663e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.115142822265625e-05
-5.491635799407959e-07,-8.218813538551331e-07,-2.0848571777343748e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.125065231323242e-05
-5.378348231315612e-07,-8.049266934394836e-07,-2.0749347686767578e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.1347305297851562e-05
-5.209871530532836e-07,-7.797123789787292e-07,-2.0652694702148436e-05
-5.548571348190307e-07,-8.304024338722228e-07,-1.6050649642944335e-05
-5.548571348190307e-07,-8.304024338722228e-07,-1.5949350357055663e-05
-5.491635799407959e-07,-8.218813538551331e-07,-1.615142822265625e-05
-5.491635799407959e-07,-8.218813538551331e-07,-1.584857177734375e-05
-5.378348231315612e-07,-8.049266934394836e-07,-1.625065231323242e-05
-5.378348231315612e-07,-8.049266934394836e-07,-1.574934768676758e-05
-5.209871530532836e-07,-7.797123789787292e-07,-1.6347305297851562e-05
-5.209871530532836e-07,-7.797123789787292e-07,-1.5652694702148436e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.7050649642944335e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.6949350357055663e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.715142822265625e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.684857177734375e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.725065231323242e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.7347305297851562e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.6749347686767578e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.6652694702148436e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.7440393447875976e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.6559606552124022e-05
-7.48333752155304e-07,-6.141416430473328e-07,-2.725065231323242e-05
-7.248921990394591e-07,-5.949036478996277e-07,-2.7347305297851562e-05
-7.48333752155304e-07,-6.141416430473328e-07,-2.6749347686767578e-05
-7.248921990394591e-07,-5.949036478996277e-07,-2.6652694702148436e-05
-6.940122842788696e-07,-5.695611834526062e-07,-2.7440393447875976e-05
-6.940122842788696e-07,-5.695611834526062e-07,-2.6559606552124022e-05
-6.560108661651611e-07,-5.383742451667785e-07,-2.7528963088989257e-05
-6.560108661651611e-07,-5.383742451667785e-07,-2.647103691101074e-05
-6.141416430473328e-07,-7.48333752155304e-07,-2.725065231323242e-05
-5.949036478996277e-07,-7.248921990394591e-07,-2.7347305297851562e-05
-6.141416430473328e-07,-7.48333752155304e-07,-2.6749347686767578e-05
-5.949036478996277e-07,-7.248921990394591e-07,-2.6652694702148436e-05
-5.695611834526062e-07,-6.940122842788696e-07,-2.7440393447875976e-05
-5.695611834526062e-07,-6.940122842788696e-07,-2.6559606552124022e-05
-5.383742451667785e-07,-6.560108661651611e-07,-2.7528963088989257e-05
-5.383742451667785e-07,-6.560108661651611e-07,-2.647103691101074e-05
-6.000820994377136e-07,-6.000820994377136e-07,-2.7528963088989257e-05
-6.000820994377136e-07,-6.000820994377136e-07,-2.647103691101074e-05
-6.112779378890991e-07,-5.01662790775299e-07,-2.7612106323242185e-05
-6.112779378890991e-07,-5.01662790775299e-07,-2.638789367675781e-05
-5.01662790775299e-07,-6.112779378890991e-07,-2.7612106323242185e-05
-5.01662790775299e-07,-6.112779378890991e-07,-2.638789367675781e-05
-5.591629147529602e-07,-5.591629147529602e-07,-2.7612106323242185e-05
-5.591629147529602e-07,-5.591629147529602e-07,-2.638789367675781e-05
-5.125058889389038e-07,-5.125058889389038e-07,-2.768896675109863e-05
-5.125058889389038e-07,-5.125058889389038e-07,-2.6311033248901366e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.1050649642944335e-05
-7.061992287635803e-07,-7.061992287635803e-07,-2.0949350357055663e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.115142822265625e-05
-6.989526748657226e-07,-6.989526748657226e-07,-2.0848571777343748e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.125065231323242e-05
-6.845338940620422e-07,-6.845338940620422e-07,-2.0749347686767578e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.1347305297851562e-05
-6.630908846855163e-07,-6.630908846855163e-07,-2.0652694702148436e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.1440393447875975e-05
-6.348437070846557e-07,-6.348437070846557e-07,-2.0559606552124022e-05
-7.061992287635803e-07,-7.061992287635803e-07,-1.6050649642944335e-05
-7.061992287635803e-07,-7.061992287635803e-07,-1.5949350357055663e-05
-6.989526748657226e-07,-6.989526748657226e-07,-1.615142822265625e-05
-6.989526748657226e-07,-6.989526748657226e-07,-1.584857177734375e-05
-6.845338940620422e-07,-6.845338940620422e-07,-1.625065231323242e-05
-6.630908846855163e-07,-6.630908846855163e-07,-1.6347305297851562e-05
