x,y,z
-6.948164701461792e-07,-5.702211260795593e-07,-2.7045583724975585e-05
-6.948164701461792e-07,-5.702211260795593e-07,-2.6954416275024413e-05
-6.876867413520813e-07,-5.643699169158935e-07,-2.713628578186035e-05
-6.876867413520813e-07,-5.643699169158935e-07,-2.6863714218139647e-05
-6.948164701461792e-07,-5.702211260795593e-07,-2.5045583724975584e-05
-6.948164701461792e-07,-5.702211260795593e-07,-2.495441627502441e-05
-6.876867413520813e-07,-5.643699169158935e-07,-2.513628578186035e-05
-6.876867413520813e-07,-5.643699169158935e-07,-2.4863714218139646e-05
-7.47362196445465e-07,-4.993714392185211e-07,-2.7045583724975585e-05
-7.47362196445465e-07,-4.993714392185211e-07,-2.6954416275024413e-05
-7.396932244300842e-07,-4.942472279071807e-07,-2.713628578186035e-05
-7.396932244300842e-07,-4.942472279071807e-07,-2.6863714218139647e-05
-7.244340181350708e-07,-4.840513467788696e-07,-2.7225587844848632e-05
-7.244340181350708e-07,-4.840513467788696e-07,-2.6774412155151366e-05
-7.017411589622498e-07,-4.688884615898132e-07,-2.7312574386596678e-05
-7.017411589622498e-07,-4.688884615898132e-07,-2.668742561340332e-05
-7.47362196445465e-07,-4.993714392185211e-07,-2.5045583724975584e-05
-7.47362196445465e-07,-4.993714392185211e-07,-2.495441627502441e-05
-7.396932244300842e-07,-4.942472279071807e-07,-2.513628578186035e-05
-7.396932244300842e-07,-4.942472279071807e-07,-2.4863714218139646e-05
-7.244340181350708e-07,-4.840513467788696e-07,-2.522558784484863e-05
-7.244340181350708e-07,-4.840513467788696e-07,-2.4774412155151364e-05
-7.017411589622498e-07,-4.688884615898132e-07,-2.5312574386596677e-05
-7.017411589622498e-07,-4.688884615898132e-07,-2.468742561340332e-05
-6.948164701461792e-07,-5.702211260795593e-07,-2.0045583724975584e-05
-6.948164701461792e-07,-5.702211260795593e-07,-1.9954416275024412e-05
-6.876867413520813e-07,-5.643699169158935e-07,-2.013628578186035e-05
-6.876867413520813e-07,-5.643699169158935e-07,-1.9863714218139647e-05
-7.47362196445465e-07,-4.993714392185211e-07,-2.0045583724975584e-05
-7.47362196445465e-07,-4.993714392185211e-07,-1.9954416275024412e-05
-7.396932244300842e-07,-4.942472279071807e-07,-2.013628578186035e-05
-7.396932244300842e-07,-4.942472279071807e-07,-1.9863714218139647e-05
-7.244340181350708e-07,-4.840513467788696e-07,-2.022558784484863e-05
-7.244340181350708e-07,-4.840513467788696e-07,-1.9774412155151365e-05
-7.017411589622498e-07,-4.688884615898132e-07,-2.0312574386596677e-05
-7.017411589622498e-07,-4.688884615898132e-07,-1.968742561340332e-05
-5.702211260795593e-07,-6.948164701461792e-07,-2.7045583724975585e-05
-5.702211260795593e-07,-6.948164701461792e-07,-2.6954416275024413e-05
-5.643699169158935e-07,-6.876867413520813e-07,-2.713628578186035e-05
-5.643699169158935e-07,-6.876867413520813e-07,-2.6863714218139647e-05
-5.702211260795593e-07,-6.948164701461792e-07,-2.5045583724975584e-05
-5.702211260795593e-07,-6.948164701461792e-07,-2.495441627502441e-05
-5.643699169158935e-07,-6.876867413520813e-07,-2.513628578186035e-05
-5.643699169158935e-07,-6.876867413520813e-07,-2.4863714218139646e-05
-4.993714392185211e-07,-7.47362196445465e-07,-2.7045583724975585e-05
-4.993714392185211e-07,-7.47362196445465e-07,-2.6954416275024413e-05
-4.942472279071807e-07,-7.396932244300842e-07,-2.713628578186035e-05
-4.942472279071807e-07,-7.396932244300842e-07,-2.6863714218139647e-05
-4.840513467788696e-07,-7.244340181350708e-07,-2.7225587844848632e-05
-4.840513467788696e-07,-7.244340181350708e-07,-2.6774412155151366e-05
-4.688884615898132e-07,-7.017411589622498e-07,-2.7312574386596678e-05
-4.688884615898132e-07,-7.017411589622498e-07,-2.668742561340332e-05
-4.993714392185211e-07,-7.47362196445465e-07,-2.5045583724975584e-05
