x,y,z
-6.176146268844604e-07,-5.068632364273071e-07,-2.6040519714355466e-05
-6.176146268844604e-07,-5.068632364273071e-07,-2.595948028564453e-05
-6.112771034240723e-07,-5.016621351242066e-07,-2.612114143371582e-05
-6.112771034240723e-07,-5.016621351242066e-07,-2.5878858566284177e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-2.6277843475341797e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-2.6040519714355466e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-2.595948028564453e-05
-6.575050950050354e-07,-4.393308758735657e-07,-2.612114143371582e-05
-6.575050950050354e-07,-4.393308758735657e-07,-2.5878858566284177e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-2.620052146911621e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-2.5799478530883787e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-2.5722156524658203e-05
-6.176146268844604e-07,-5.068632364273071e-07,-2.1040519714355466e-05
-6.176146268844604e-07,-5.068632364273071e-07,-2.095948028564453e-05
-6.112771034240723e-07,-5.016621351242066e-07,-2.112114143371582e-05
-6.112771034240723e-07,-5.016621351242066e-07,-2.0878858566284178e-05
-6.176146268844604e-07,-5.068632364273071e-07,-1.7040519714355467e-05
-6.176146268844604e-07,-5.068632364273071e-07,-1.695948028564453e-05
-6.112771034240723e-07,-5.016621351242066e-07,-1.712114143371582e-05
-6.112771034240723e-07,-5.016621351242066e-07,-1.687885856628418e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-2.1040519714355466e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-2.095948028564453e-05
-6.575050950050354e-07,-4.393308758735657e-07,-2.112114143371582e-05
-6.575050950050354e-07,-4.393308758735657e-07,-2.0878858566284178e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-2.120052146911621e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-2.0799478530883788e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-2.1277843475341797e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-2.0722156524658204e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-1.7040519714355467e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-1.695948028564453e-05
-6.575050950050354e-07,-4.393308758735657e-07,-1.712114143371582e-05
-6.575050950050354e-07,-4.393308758735657e-07,-1.687885856628418e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-1.720052146911621e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-1.7277843475341795e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-1.679947853088379e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-1.67221565246582e-05
-5.068632364273071e-07,-6.176146268844604e-07,-2.6040519714355466e-05
-5.068632364273071e-07,-6.176146268844604e-07,-2.595948028564453e-05
-5.016621351242066e-07,-6.112771034240723e-07,-2.612114143371582e-05
-5.016621351242066e-07,-6.112771034240723e-07,-2.5878858566284177e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-2.6277843475341797e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-2.6040519714355466e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-2.595948028564453e-05
-4.393308758735657e-07,-6.575050950050354e-07,-2.612114143371582e-05
-4.393308758735657e-07,-6.575050950050354e-07,-2.5878858566284177e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-2.620052146911621e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-2.5799478530883787e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-2.5722156524658203e-05
-5.068632364273071e-07,-6.176146268844604e-07,-2.1040519714355466e-05
-5.068632364273071e-07,-6.176146268844604e-07,-2.095948028564453e-05
-5.016621351242066e-07,-6.112771034240723e-07,-2.112114143371582e-05
-5.016621351242066e-07,-6.112771034240723e-07,-2.0878858566284178e-05
-5.068632364273071e-07,-6.176146268844604e-07,-1.7040519714355467e-05
-5.068632364273071e-07,-6.176146268844604e-07,-1.695948028564453e-05
-5.016621351242066e-07,-6.112771034240723e-07,-1.712114143371582e-05
-5.016621351242066e-07,-6.112771034240723e-07,-1.687885856628418e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-2.1040519714355466e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-2.095948028564453e-05
-4.393308758735657e-07,-6.575050950050354e-07,-2.112114143371582e-05
-4.393308758735657e-07,-6.575050950050354e-07,-2.0878858566284178e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-2.120052146911621e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-2.0799478530883788e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-2.1277843475341797e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-2.0722156524658204e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-1.7040519714355467e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-1.695948028564453e-05
-4.393308758735657e-07,-6.575050950050354e-07,-1.712114143371582e-05
-4.393308758735657e-07,-6.575050950050354e-07,-1.687885856628418e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-1.720052146911621e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-1.7277843475341795e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-1.679947853088379e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-1.67221565246582e-05
-5.304726958274841e-07,-5.304726958274841e-07,-2.6277843475341797e-05
-5.078749656677246e-07,-5.078749656677246e-07,-2.635231590270996e-05
-5.649593472480773e-07,-5.649593472480773e-07,-2.6040519714355466e-05
-5.649593472480773e-07,-5.649593472480773e-07,-2.595948028564453e-05
-5.591621398925781e-07,-5.591621398925781e-07,-2.612114143371582e-05
-5.591621398925781e-07,-5.591621398925781e-07,-2.5878858566284177e-05
-5.476270914077758e-07,-5.476270914077758e-07,-2.620052146911621e-05
-5.476270914077758e-07,-5.476270914077758e-07,-2.5799478530883787e-05
-5.304726958274841e-07,-5.304726958274841e-07,-2.5722156524658203e-05
-5.078749656677246e-07,-5.078749656677246e-07,-2.5647684097290036e-05
-5.799137353897095e-07,-4.7592291235923765e-07,-2.6277843475341797e-05
-5.552098155021667e-07,-4.556489288806915e-07,-2.635231590270996e-05
-5.248087048530578e-07,-4.306993782520294e-07,-2.642317199707031e-05
-5.986669659614563e-07,-4.913133084774017e-07,-2.620052146911621e-05
-5.986669659614563e-07,-4.913133084774017e-07,-2.5799478530883787e-05
-5.799137353897095e-07,-4.7592291235923765e-07,-2.5722156524658203e-05
-5.552098155021667e-07,-4.556489288806915e-07,-2.5647684097290036e-05
-5.248087048530578e-07,-4.306993782520294e-07,-2.5576828002929686e-05
-4.7592291235923765e-07,-5.799137353897095e-07,-2.6277843475341797e-05
-4.556489288806915e-07,-5.552098155021667e-07,-2.635231590270996e-05
-4.306993782520294e-07,-5.248087048530578e-07,-2.642317199707031e-05
-4.913133084774017e-07,-5.986669659614563e-07,-2.620052146911621e-05
-4.913133084774017e-07,-5.986669659614563e-07,-2.5799478530883787e-05
-4.7592291235923765e-07,-5.799137353897095e-07,-2.5722156524658203e-05
-4.556489288806915e-07,-5.552098155021667e-07,-2.5647684097290036e-05
-4.306993782520294e-07,-5.248087048530578e-07,-2.5576828002929686e-05
-4.800656735897064e-07,-4.800656735897064e-07,-2.642317199707031e-05
-4.890223145484924e-07,-4.013302624225616e-07,-2.648968505859375e-05
-4.013302624225616e-07,-4.890223145484924e-07,-2.648968505859375e-05
-4.473302960395813e-07,-4.473302960395813e-07,-2.648968505859375e-05
-4.1000470519065855e-07,-4.1000470519065855e-07,-2.6551174163818357e-05
-4.800656735897064e-07,-4.800656735897064e-07,-2.5576828002929686e-05
-4.890223145484924e-07,-4.013302624225616e-07,-2.5510314941406248e-05
-4.013302624225616e-07,-4.890223145484924e-07,-2.5510314941406248e-05
-4.473302960395813e-07,-4.473302960395813e-07,-2.5510314941406248e-05
-4.1000470519065855e-07,-4.1000470519065855e-07,-2.544882583618164e-05
-5.649593472480773e-07,-5.649593472480773e-07,-2.1040519714355466e-05
-5.649593472480773e-07,-5.649593472480773e-07,-2.095948028564453e-05
-5.591621398925781e-07,-5.591621398925781e-07,-2.112114143371582e-05
-5.591621398925781e-07,-5.591621398925781e-07,-2.0878858566284178e-05
-5.476270914077758e-07,-5.476270914077758e-07,-2.120052146911621e-05
-5.476270914077758e-07,-5.476270914077758e-07,-2.0799478530883788e-05
-5.304726958274841e-07,-5.304726958274841e-07,-2.1277843475341797e-05
-5.304726958274841e-07,-5.304726958274841e-07,-2.0722156524658204e-05
-5.078749656677246e-07,-5.078749656677246e-07,-2.135231590270996e-05
-5.078749656677246e-07,-5.078749656677246e-07,-2.0647684097290037e-05
-5.649593472480773e-07,-5.649593472480773e-07,-1.7040519714355467e-05
-5.649593472480773e-07,-5.649593472480773e-07,-1.695948028564453e-05
-5.591621398925781e-07,-5.591621398925781e-07,-1.712114143371582e-05
-5.591621398925781e-07,-5.591621398925781e-07,-1.687885856628418e-05
-5.476270914077758e-07,-5.476270914077758e-07,-1.720052146911621e-05
-5.304726958274841e-07,-5.304726958274841e-07,-1.7277843475341795e-05
-5.078749656677246e-07,-5.078749656677246e-07,-1.735231590270996e-05
-5.476270914077758e-07,-5.476270914077758e-07,-1.679947853088379e-05
-5.304726958274841e-07,-5.304726958274841e-07,-1.67221565246582e-05
-5.078749656677246e-07,-5.078749656677246e-07,-1.6647684097290038e-05
-5.986669659614563e-07,-4.913133084774017e-07,-2.120052146911621e-05
-5.986669659614563e-07,-4.913133084774017e-07,-2.0799478530883788e-05
-5.799137353897095e-07,-4.7592291235923765e-07,-2.1277843475341797e-05
-5.799137353897095e-07,-4.7592291235923765e-07,-2.0722156524658204e-05
-5.552098155021667e-07,-4.556489288806915e-07,-2.135231590270996e-05
-5.552098155021667e-07,-4.556489288806915e-07,-2.0647684097290037e-05
-5.248087048530578e-07,-4.306993782520294e-07,-2.142317199707031e-05
-5.248087048530578e-07,-4.306993782520294e-07,-2.0576828002929686e-05
-5.986669659614563e-07,-4.913133084774017e-07,-1.720052146911621e-05
-5.799137353897095e-07,-4.7592291235923765e-07,-1.7277843475341795e-05
-5.552098155021667e-07,-4.556489288806915e-07,-1.735231590270996e-05
-5.986669659614563e-07,-4.913133084774017e-07,-1.679947853088379e-05
-5.799137353897095e-07,-4.7592291235923765e-07,-1.67221565246582e-05
-5.552098155021667e-07,-4.556489288806915e-07,-1.6647684097290038e-05
-5.248087048530578e-07,-4.306993782520294e-07,-1.7423171997070312e-05
-5.248087048530578e-07,-4.306993782520294e-07,-1.6576828002929687e-05
-4.913133084774017e-07,-5.986669659614563e-07,-2.120052146911621e-05
-4.913133084774017e-07,-5.986669659614563e-07,-2.0799478530883788e-05
-4.7592291235923765e-07,-5.799137353897095e-07,-2.1277843475341797e-05
-4.7592291235923765e-07,-5.799137353897095e-07,-2.0722156524658204e-05
-4.556489288806915e-07,-5.552098155021667e-07,-2.135231590270996e-05
-4.556489288806915e-07,-5.552098155021667e-07,-2.0647684097290037e-05
-4.306993782520294e-07,-5.248087048530578e-07,-2.142317199707031e-05
-4.306993782520294e-07,-5.248087048530578e-07,-2.0576828002929686e-05
-4.913133084774017e-07,-5.986669659614563e-07,-1.720052146911621e-05
-4.7592291235923765e-07,-5.799137353897095e-07,-1.7277843475341795e-05
-4.556489288806915e-07,-5.552098155021667e-07,-1.735231590270996e-05
-4.913133084774017e-07,-5.986669659614563e-07,-1.679947853088379e-05
-4.7592291235923765e-07,-5.799137353897095e-07,-1.67221565246582e-05
-4.556489288806915e-07,-5.552098155021667e-07,-1.6647684097290038e-05
-4.306993782520294e-07,-5.248087048530578e-07,-1.7423171997070312e-05
-4.306993782520294e-07,-5.248087048530578e-07,-1.6576828002929687e-05
-4.800656735897064e-07,-4.800656735897064e-07,-2.142317199707031e-05
-4.800656735897064e-07,-4.800656735897064e-07,-2.0576828002929686e-05
-4.890223145484924e-07,-4.013302624225616e-07,-2.148968505859375e-05
-4.890223145484924e-07,-4.013302624225616e-07,-2.051031494140625e-05
-4.013302624225616e-07,-4.890223145484924e-07,-2.148968505859375e-05
-4.013302624225616e-07,-4.890223145484924e-07,-2.051031494140625e-05
-4.473302960395813e-07,-4.473302960395813e-07,-2.148968505859375e-05
-4.1000470519065855e-07,-4.1000470519065855e-07,-2.1551174163818357e-05
-4.473302960395813e-07,-4.473302960395813e-07,-2.051031494140625e-05
-4.1000470519065855e-07,-4.1000470519065855e-07,-2.044882583618164e-05
-4.800656735897064e-07,-4.800656735897064e-07,-1.7423171997070312e-05
-4.800656735897064e-07,-4.800656735897064e-07,-1.6576828002929687e-05
-4.890223145484924e-07,-4.013302624225616e-07,-1.748968505859375e-05
-4.890223145484924e-07,-4.013302624225616e-07,-1.651031494140625e-05
-4.013302624225616e-07,-4.890223145484924e-07,-1.748968505859375e-05
-4.013302624225616e-07,-4.890223145484924e-07,-1.651031494140625e-05
-4.473302960395813e-07,-4.473302960395813e-07,-1.748968505859375e-05
-4.1000470519065855e-07,-4.1000470519065855e-07,-1.755117416381836e-05
-4.473302960395813e-07,-4.473302960395813e-07,-1.651031494140625e-05
-4.1000470519065855e-07,-4.1000470519065855e-07,-1.644882583618164e-05
-6.176146268844604e-07,-5.068632364273071e-07,-1.3040519714355468e-05
-6.176146268844604e-07,-5.068632364273071e-07,-1.295948028564453e-05
-6.112771034240723e-07,-5.016621351242066e-07,-1.3121142387390136e-05
