x,y,z
-5.404127836227416e-07,-4.435053169727325e-07,-2.7035453796386717e-05
-5.404127836227416e-07,-4.435053169727325e-07,-2.696454620361328e-05
-5.348674654960632e-07,-4.389543533325195e-07,-2.710599899291992e-05
-5.348674654960632e-07,-4.389543533325195e-07,-2.6894001007080077e-05
-5.404127836227416e-07,-4.435053169727325e-07,-2.503545379638672e-05
-5.404127836227416e-07,-4.435053169727325e-07,-2.496454620361328e-05
-5.348674654960632e-07,-4.389543533325195e-07,-2.510599899291992e-05
-5.348674654960632e-07,-4.389543533325195e-07,-2.4894001007080076e-05
-5.812817215919494e-07,-3.884000182151794e-07,-2.7035453796386717e-05
-5.812817215919494e-07,-3.884000182151794e-07,-2.696454620361328e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-2.710599899291992e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-2.6894001007080077e-05
-5.458847284317017e-07,-3.6474850773811337e-07,-2.9999999999999997e-05
-5.634486675262451e-07,-3.764843940734863e-07,-2.717545700073242e-05
-5.634486675262451e-07,-3.764843940734863e-07,-2.6824542999267575e-05
-5.46877920627594e-07,-3.6289042234420776e-07,-2.7243114471435545e-05
-5.46877920627594e-07,-3.6289042234420776e-07,-2.6756885528564453e-05
-5.445481538772583e-07,-3.663771152496338e-07,-2.7243114471435545e-05
-5.458847284317017e-07,-3.6474850773811337e-07,-2.7242784500122068e-05
-5.46017587184906e-07,-3.644999265670776e-07,-2.7242828369140624e-05
-5.445481538772583e-07,-3.663771152496338e-07,-2.6756885528564453e-05
-5.457059144973755e-07,-3.649664223194122e-07,-2.6757171630859374e-05
-5.458847284317017e-07,-3.6474850773811337e-07,-2.675721549987793e-05
-5.812817215919494e-07,-3.884000182151794e-07,-2.503545379638672e-05
-5.812817215919494e-07,-3.884000182151794e-07,-2.496454620361328e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-2.510599899291992e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-2.4894001007080076e-05
-5.634486675262451e-07,-3.764843940734863e-07,-2.517545700073242e-05
-5.634486675262451e-07,-3.764843940734863e-07,-2.4824542999267578e-05
-5.46877920627594e-07,-3.6289042234420776e-07,-2.5243114471435547e-05
-5.46877920627594e-07,-3.6289042234420776e-07,-2.4756885528564452e-05
-5.445481538772583e-07,-3.663771152496338e-07,-2.5243114471435547e-05
-5.458847284317017e-07,-3.6474850773811337e-07,-2.524278450012207e-05
-5.46017587184906e-07,-3.644999265670776e-07,-2.5242828369140623e-05
-5.445481538772583e-07,-3.663771152496338e-07,-2.4756885528564452e-05
-5.457059144973755e-07,-3.649664223194122e-07,-2.4757171630859373e-05
-5.458847284317017e-07,-3.6474850773811337e-07,-2.475721549987793e-05
-5.404127836227416e-07,-4.435053169727325e-07,-1.7035453796386717e-05
-5.404127836227416e-07,-4.435053169727325e-07,-1.696454620361328e-05
-5.348674654960632e-07,-4.389543533325195e-07,-1.7105998992919922e-05
-5.348674654960632e-07,-4.389543533325195e-07,-1.6894001007080078e-05
-5.404127836227416e-07,-4.435053169727325e-07,-1.5035454750061034e-05
-5.348674654960632e-07,-4.389543533325195e-07,-1.510599899291992e-05
-5.812817215919494e-07,-3.884000182151794e-07,-1.7035453796386717e-05
-5.812817215919494e-07,-3.884000182151794e-07,-1.696454620361328e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-1.7105998992919922e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-1.6894001007080078e-05
-5.812817215919494e-07,-3.884000182151794e-07,-1.5035454750061034e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-1.510599899291992e-05
-5.634486675262451e-07,-3.764843940734863e-07,-1.717545700073242e-05
-5.46877920627594e-07,-3.6289042234420776e-07,-1.7243114471435546e-05
-5.445481538772583e-07,-3.663771152496338e-07,-1.7243114471435546e-05
-5.458847284317017e-07,-3.6474850773811337e-07,-1.724278450012207e-05
-5.46017587184906e-07,-3.644999265670776e-07,-1.7242828369140625e-05
-5.634486675262451e-07,-3.764843940734863e-07,-1.6824542999267576e-05
-5.634486675262451e-07,-3.764843940734863e-07,-1.517545700073242e-05
-5.46877920627594e-07,-3.6289042234420776e-07,-1.6756885528564454e-05
-5.46877920627594e-07,-3.6289042234420776e-07,-1.5243113517761229e-05
-5.445481538772583e-07,-3.663771152496338e-07,-1.6756885528564454e-05
-5.457059144973755e-07,-3.649664223194122e-07,-1.6757171630859375e-05
-5.458847284317017e-07,-3.6474850773811337e-07,-1.6757215499877927e-05
-5.445481538772583e-07,-3.663771152496338e-07,-1.5243113517761229e-05
-5.458847284317017e-07,-3.6474850773811337e-07,-1.5242783546447754e-05
-5.46017587184906e-07,-3.644999265670776e-07,-1.5242827415466308e-05
-4.435053169727325e-07,-5.404127836227416e-07,-2.7035453796386717e-05
-4.435053169727325e-07,-5.404127836227416e-07,-2.696454620361328e-05
-4.389543533325195e-07,-5.348674654960632e-07,-2.710599899291992e-05
-4.389543533325195e-07,-5.348674654960632e-07,-2.6894001007080077e-05
-4.435053169727325e-07,-5.404127836227416e-07,-2.503545379638672e-05
-4.435053169727325e-07,-5.404127836227416e-07,-2.496454620361328e-05
-4.389543533325195e-07,-5.348674654960632e-07,-2.510599899291992e-05
-4.389543533325195e-07,-5.348674654960632e-07,-2.4894001007080076e-05
-3.884000182151794e-07,-5.812817215919494e-07,-2.7035453796386717e-05
-3.884000182151794e-07,-5.812817215919494e-07,-2.696454620361328e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-2.710599899291992e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-2.6894001007080077e-05
-3.6474850773811337e-07,-5.458847284317017e-07,-2.9999999999999997e-05
-3.764843940734863e-07,-5.634486675262451e-07,-2.717545700073242e-05
-3.764843940734863e-07,-5.634486675262451e-07,-2.6824542999267575e-05
-3.6289042234420776e-07,-5.46877920627594e-07,-2.7243114471435545e-05
-3.6289042234420776e-07,-5.46877920627594e-07,-2.6756885528564453e-05
-3.663771152496338e-07,-5.445481538772583e-07,-2.7243114471435545e-05
-3.649664223194122e-07,-5.457059144973755e-07,-2.7242828369140624e-05
-3.6474850773811337e-07,-5.458847284317017e-07,-2.7242784500122068e-05
-3.663771152496338e-07,-5.445481538772583e-07,-2.6756885528564453e-05
-3.6474850773811337e-07,-5.458847284317017e-07,-2.675721549987793e-05
-3.644999265670776e-07,-5.46017587184906e-07,-2.6757171630859374e-05
-3.884000182151794e-07,-5.812817215919494e-07,-2.503545379638672e-05
-3.884000182151794e-07,-5.812817215919494e-07,-2.496454620361328e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-2.510599899291992e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-2.4894001007080076e-05
-3.764843940734863e-07,-5.634486675262451e-07,-2.517545700073242e-05
-3.764843940734863e-07,-5.634486675262451e-07,-2.4824542999267578e-05
-3.6289042234420776e-07,-5.46877920627594e-07,-2.5243114471435547e-05
-3.6289042234420776e-07,-5.46877920627594e-07,-2.4756885528564452e-05
-3.663771152496338e-07,-5.445481538772583e-07,-2.5243114471435547e-05
-3.649664223194122e-07,-5.457059144973755e-07,-2.5242828369140623e-05
-3.6474850773811337e-07,-5.458847284317017e-07,-2.524278450012207e-05
-3.663771152496338e-07,-5.445481538772583e-07,-2.4756885528564452e-05
-3.6474850773811337e-07,-5.458847284317017e-07,-2.475721549987793e-05
-3.644999265670776e-07,-5.46017587184906e-07,-2.4757171630859373e-05
-4.435053169727325e-07,-5.404127836227416e-07,-1.7035453796386717e-05
-4.435053169727325e-07,-5.404127836227416e-07,-1.696454620361328e-05
-4.389543533325195e-07,-5.348674654960632e-07,-1.7105998992919922e-05
-4.389543533325195e-07,-5.348674654960632e-07,-1.6894001007080078e-05
-4.435053169727325e-07,-5.404127836227416e-07,-1.5035454750061034e-05
-4.389543533325195e-07,-5.348674654960632e-07,-1.510599899291992e-05
-3.884000182151794e-07,-5.812817215919494e-07,-1.7035453796386717e-05
-3.884000182151794e-07,-5.812817215919494e-07,-1.696454620361328e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-1.7105998992919922e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-1.6894001007080078e-05
-3.884000182151794e-07,-5.812817215919494e-07,-1.5035454750061034e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-1.510599899291992e-05
-3.764843940734863e-07,-5.634486675262451e-07,-1.717545700073242e-05
-3.6289042234420776e-07,-5.46877920627594e-07,-1.7243114471435546e-05
-3.663771152496338e-07,-5.445481538772583e-07,-1.7243114471435546e-05
-3.649664223194122e-07,-5.457059144973755e-07,-1.7242828369140625e-05
-3.6474850773811337e-07,-5.458847284317017e-07,-1.724278450012207e-05
-3.764843940734863e-07,-5.634486675262451e-07,-1.6824542999267576e-05
-3.764843940734863e-07,-5.634486675262451e-07,-1.517545700073242e-05
-3.6289042234420776e-07,-5.46877920627594e-07,-1.6756885528564454e-05
-3.6289042234420776e-07,-5.46877920627594e-07,-1.5243113517761229e-05
-3.663771152496338e-07,-5.445481538772583e-07,-1.6756885528564454e-05
-3.6474850773811337e-07,-5.458847284317017e-07,-1.6757215499877927e-05
-3.644999265670776e-07,-5.46017587184906e-07,-1.6757171630859375e-05
-3.663771152496338e-07,-5.445481538772583e-07,-1.5243113517761229e-05
-3.649664223194122e-07,-5.457059144973755e-07,-1.5242827415466308e-05
-3.6474850773811337e-07,-5.458847284317017e-07,-1.5242783546447754e-05
-4.943394362926483e-07,-4.943394362926483e-07,-2.7035453796386717e-05
-4.943394362926483e-07,-4.943394362926483e-07,-2.696454620361328e-05
-4.892668724060059e-07,-4.892668724060059e-07,-2.710599899291992e-05
-4.892668724060059e-07,-4.892668724060059e-07,-2.6894001007080077e-05
